SongID,SongTitle,SongPopularity,ArtistA,ArtistAGenres,ArtistAPopularity,ArtistAFollowers,ArtistARelated,ArtistB,AtristBGenres,ArtistBPopularity,ArtistBFollowers,ArtistBRelated
2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered 2011,59,Queen,"['classic rock', 'glam rock', 'rock']",88,39865685,"['Freddie Mercury', 'Electric Light Orchestra', 'Aerosmith', 'David Bowie', 'The Who', 'KISS', 'Elton John', 'Van Halen', 'Journey', 'Supertramp', 'Led Zeppelin', 'TOTO', 'Deep Purple', 'Boston', 'Billy Joel', 'Styx', 'John Lennon', 'Wings', 'T. Rex', 'George Harrison']",David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",82,7818521,"['Lou Reed', 'T. Rex', 'Roxy Music', 'Iggy Pop', 'Talking Heads', 'Brian Eno', 'Queen', 'The Velvet Underground', 'The Kinks', 'The Stranglers', 'Pretenders', 'Patti Smith', 'Joy Division', 'The Clash', 'The Who', 'Echo & the Bunnymen', 'Pulp', 'Wings', 'New Order', 'George Harrison']"
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,85,Eminem,"['detroit hip hop', 'hip hop', 'rap']",95,52611289,"['D12', 'Bad Meets Evil', 'The Game', 'Hopsin', 'DMX', 'Dr. Dre', '50 Cent', 'Yelawolf', 'Tech N9ne', 'Obie Trice', 'Ice Cube', 'N.W.A.', 'T.I.', 'Xzibit', 'Snoop Dogg', 'The Notorious B.I.G.', 'Joyner Lucas', 'Ludacris', 'G-Unit', 'B.o.B']",Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",92,47262962,"['Nicki Minaj', 'Beyoncé', 'Jennifer Lopez', 'The Pussycat Dolls', 'Kesha', 'Justin Timberlake', 'Fergie', 'Demi Lovato', 'Jessie J', 'Nelly Furtado', 'Miley Cyrus', ""Destiny's Child"", 'Iggy Azalea', 'Britney Spears', 'Ciara', 'Gwen Stefani', 'Cardi B', 'Tinashe', 'JoJo', 'Christina Aguilera']"
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),78,B.o.B,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",76,1942378,"['Young Money', 'T.I.', 'Gym Class Heroes', 'New Boyz', 'Chiddy Bang', 'Lupe Fiasco', 'Mike Posner', 'Sammy Adams', 'Sean Kingston', 'Waka Flocka Flame', 'Kid Ink', 'Bad Meets Evil', 'Hoodie Allen', 'Futuristic', 'Gorilla Zoe', 'Far East Movement', 'Sage The Gemini', 'Kevin Rudolf', 'Iyaz', 'Wiz Khalifa']",Hayley Williams,"['art pop', 'indie pop']",69,502089,"['PVRIS', 'Paramore', 'Tonight Alive', 'VersaEmerge', 'The Maine', 'We Are The In Crowd', 'You Me At Six', 'Now, Now', 'Lights', 'HalfNoise', 'Orla Gartland', 'The Pretty Reckless', 'The Aces', 'Gerard Way', 'MUNA', 'Pale Waves', 'Allie X', 'Aly & AJ', 'Tegan and Sara', 'Samia']"
6tS3XVuOyu10897O3ae7bi,California Gurls,76,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",88,20689450,"['Selena Gomez & The Scene', 'Kelly Clarkson', 'Jessie J', 'Fergie', 'Miley Cyrus', 'The Pussycat Dolls', 'Gwen Stefani', 'Kesha', 'P!nk', 'Avril Lavigne', 'Demi Lovato', 'Selena Gomez', 'Fifth Harmony', 'Hannah Montana', 'Hilary Duff', 'Britney Spears', 'Glee Cast', 'Little Mix', 'Cher Lloyd', 'Carly Rae Jepsen']",Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",88,7835557,"['Warren G', 'Westside Connection', 'Mack 10', 'Kurupt', 'Makaveli', 'Eazy-E', 'Too $hort', 'DJ Quik', 'Tha Eastsidaz', 'N.W.A.', 'Nate Dogg', 'Daz Dillinger', 'Bone Thugs-N-Harmony', 'The Game', 'Xzibit', 'Ice Cube', 'The Notorious B.I.G.', 'Suga Free', 'WC', 'Naughty By Nature']"
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,78,Sean Kingston,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']",74,2503507,"['Jay Sean', 'Iyaz', 'Baby Bash', 'New Boyz', 'T-Pain', 'Taio Cruz', 'Jason Derulo', 'Far East Movement', 'Mike Posner', 'Akon', 'Soulja Boy', 'Flo Rida', 'Ne-Yo', 'Mario', 'Jeremih', 'Bow Wow', 'will.i.am', 'Shontelle', 'Gym Class Heroes', 'Jordin Sparks']",Justin Bieber,"['canadian pop', 'pop']",96,56964931,"['ZAYN', 'Shawn Mendes', 'Bazzi', 'Niall Horan', 'Camila Cabello', 'Selena Gomez', 'Demi Lovato', 'Fifth Harmony', 'Alessia Cara', 'Liam Payne', 'Zara Larsson', 'The Vamps', 'Hailee Steinfeld', 'Nick Jonas', 'Jonas Brothers', 'Julia Michaels', 'Khalid', 'Ruel', 'PRETTYMUCH', 'One Direction']"
7LP4Es66zdY7CyjepqmvAg,Down,4,Jay Sean,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",70,1495305,"[""Colby O'Donis"", 'Iyaz', 'Karl Wolf', 'Massari', 'Mumzy Stranger', 'Sean Kingston', 'Mario', 'Stevie Hoang', 'Shontelle', 'Frankie J', 'Taio Cruz', 'Craig David', 'Raghav', 'Faydee', 'Jordin Sparks', 'Ne-Yo', 'Omarion', 'Keri Hilson', 'Pleasure P', 'Far East Movement']",Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",90,11611303,"['Young Money', 'Rick Ross', 'Birdman', 'Yo Gotti', 'Waka Flocka Flame', 'Jeezy', 'T.I.', '2 Chainz', 'Gucci Mane', 'Ace Hood', 'Juicy J', 'Plies', 'Fabolous', 'Meek Mill', 'Wale', 'DJ Drama', 'Big Sean', 'French Montana', 'The Game', 'DJ Khaled']"
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,78,Mike Posner,"['dance pop', 'edm', 'pop', 'pop rap', 'pop rock']",74,1229598,"['Shwayze', 'New Boyz', 'Chiddy Bang', 'Far East Movement', 'Gym Class Heroes', 'Sean Kingston', 'Nico & Vinz', 'Travie McCoy', 'Sammy Adams', 'B.o.B', 'Hoodie Allen', 'Iyaz', 'T-Pain', 'Baby Bash', 'Jay Sean', 'Taio Cruz', 'Jeremih', 'Lupe Fiasco', 'Kevin Rudolf', 'Wiz Khalifa']",Gigamesh,"['new french touch', 'nu disco']",64,34731,"['Pat Lok', 'Oliver', 'Sam Padrul', 'Chordashian', 'Keljet', 'jackLNDN', 'Kartell', 'Fred Falke', 'Les Loups', 'Jean Tonique', 'Zimmer', 'Jupiter', 'Classixx', 'Louis La Roche', 'Cherokee', 'Roman Kouder', 'Moullinex', 'Lenno', 'Goldroom', 'French Horn Rebellion']"
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),82,Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",83,9462571,"['Mario', 'Jagged Edge', 'Trey Songz', 'Ginuwine', 'Pretty Ricky', 'Keyshia Cole', 'Omarion', '112', 'Bow Wow', 'Ne-Yo', 'Tyrese', 'Joe', 'Monica', 'The-Dream', 'Ciara', 'Avant', 'Ashanti', 'Brandy', 'Dru Hill', 'Donell Jones']",Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",86,9104539,"['Flo Rida', 'Taio Cruz', 'will.i.am', 'LMFAO', 'Sean Kingston', 'Jason Derulo', 'Far East Movement', 'B.o.B', 'Sean Paul', 'Black Eyed Peas', 'Timbaland', 'DJ Antoine', 'Kesha', 'Madcon', 'R.I.O.', 'Fergie', 'Mike Posner', 'Jennifer Lopez', 'Lil Jon', 'Juan Magán']"
6epn3r7S14KUqlReYr77hA,Baby,83,Justin Bieber,"['canadian pop', 'pop']",96,56964931,"['ZAYN', 'Shawn Mendes', 'Bazzi', 'Niall Horan', 'Camila Cabello', 'Selena Gomez', 'Demi Lovato', 'Fifth Harmony', 'Alessia Cara', 'Liam Payne', 'Zara Larsson', 'The Vamps', 'Hailee Steinfeld', 'Nick Jonas', 'Jonas Brothers', 'Julia Michaels', 'Khalid', 'Ruel', 'PRETTYMUCH', 'One Direction']",Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2328307,"['Ying Yang Twins', 'David Banner', 'Trick Daddy', 'Chingy', 'Big Tymers', 'Mike Jones', 'Twista', 'Mystikal', 'Petey Pablo', 'Yung Joc', 'JUVENILE', 'Dem Franchize Boyz', 'Birdman', 'Lil Jon & The East Side Boyz', 'Young Buck', 'Young Money', 'Plies', 'Lil Scrappy', 'Gorilla Zoe', 'Fabolous']"
5xYC48nOppVemY6U5GRGTb,Memories (feat. Kid Cudi),79,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",90,23871991,"['Calvin Harris', 'R3HAB', 'Avicii', 'Galantis', 'The Chainsmokers', 'Sigala', 'Martin Jensen', 'Tiësto', 'Cheat Codes', 'Jax Jones', 'Alesso', 'Loud Luxury', 'Cash Cash', 'Dimitri Vegas & Like Mike', 'KSHMR', 'DVBBS', 'VINAI', 'Robin Schulz', 'Lucas & Steve', 'Zedd']",Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']",87,5563367,"['Pusha T', 'Lupe Fiasco', 'A$AP Rocky', 'ScHoolboy Q', 'Big Sean', 'Earl Sweatshirt', 'Vince Staples', 'Mac Miller', 'Joey Bada$$', 'Freddie Gibbs', 'A$AP Mob', 'Childish Gambino', 'Bas', 'Jay Rock', 'KIDS SEE GHOSTS', 'Isaiah Rashad', 'Chance the Rapper', 'WZRD', 'Denzel Curry', 'Kevin Abstract']"
